,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
60,25, Private,233946, HS-grad,12, Never-married, Machine-op-inspct, Wife, White, Male,-34,-3,40, United-States, <=50K
61,36, Private,321730, Doctorate,13, Divorced, Exec-managerial, Husband, Other, Male,78,-3,28, United-States, <=50K
62,40, Private,366330, 11th,15, Never-married, Other-service, Not-in-family, White, Male,42,-5,30, United-States, <=50K
63,21, Self-emp-inc,110878, 10th,5, Never-married, Other-service, Husband, White, Male,95,3,40, United-States, <=50K
64,19, Self-emp-inc,205039, 11th,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,116,-6,31, United-States, <=50K
65,41, Private,233564, Some-college,13, Married-civ-spouse, Adm-clerical, Husband, Other, Male,-37,3,12, United-States, <=50K
66,20, Private,294770, Masters,10, Never-married, Adm-clerical, Not-in-family, Black, Male,63,-1,40, United-States, <=50K
67,41, ?,272974, HS-grad,14, Married-civ-spouse, Craft-repair, Husband, White, Female,-33,-2,49, United-States, <=50K
68,30, Private,243170, Some-college,5, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,95,3,40, United-States, <=50K
69,31, Private,204185, Doctorate,16, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,-30,-1,40, Iran, <=50K
70,67, Private,328543, Doctorate,16, Never-married, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,47,4,53, United-States, <=50K
71,39, Local-gov,186330, Doctorate,9, Divorced, Sales, Own-child, White, Female,3,-2,40, United-States, <=50K
72,37, ?,176164, HS-grad,9, Married-civ-spouse, Exec-managerial, Own-child, White, Male,130,1,40, United-States, <=50K
73,18, Private,199810, Bachelors,9, Never-married, Adm-clerical, Husband, White, Female,91,3,40, United-States, <=50K
74,46, Private,206956, Some-college,15, Married-civ-spouse, Other-service, Husband, White, Male,16111,1445,40, United-States, <=50K
75,28, Private,134103, 11th,9, Never-married, Other-service, Husband, White, Male,43,-3,34, United-States, <=50K
76,33, Private,317030, Some-college,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,-7,-5,40, United-States, <=50K
77,59, Private,83775, Some-college,12, Divorced, ?, Husband, White, Male,47,-2,40, United-States, >50K
78,50, Private,59099, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Other, Male,143,-1,40, United-States, <=50K
79,19, Private,176735, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,78,-1,40, United-States, <=50K
80,47, Private,163784, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-43,-2,20, United-States, <=50K
81,42, Local-gov,229961, Bachelors,15, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,102,3,41, United-States, <=50K
82,22, Private,314787, Some-college,6, Married-civ-spouse, ?, Husband, White, Male,-30,1,55, United-States, <=50K
83,27, Private,177246, Bachelors,9, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,17,4,40, United-States, <=50K
84,69, Private,62395, Some-college,10, Married-civ-spouse, Craft-repair, Own-child, White, Male,-25,0,49, United-States, >50K
85,55, Federal-gov,231585, HS-grad,11, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,138,-3,40, United-States, <=50K
86,33, Private,242849, Assoc-voc,12, Never-married, Exec-managerial, Not-in-family, White, Male,137,0,58, United-States, <=50K
87,42, Private,239832, HS-grad,15, Never-married, Sales, Husband, White, Male,-93,7,40, Haiti, <=50K
88,29, Private,222320, Assoc-acdm,13, Never-married, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,-71,-4,49, United-States, <=50K
89,38, Private,47444, Assoc-acdm,13, Married-civ-spouse, Adm-clerical, Husband, Black, Male,-123,7,40, Columbia, <=50K
90,19, Private,169158, Bachelors,13, Married-civ-spouse, Craft-repair, Other-relative, White, Male,83,4,40, China, <=50K
91,50, Private,472827, 11th,2, Married-civ-spouse, Other-service, Husband, White, Female,-52,-1,40, United-States, <=50K
92,50, Self-emp-not-inc,296008, HS-grad,9, Separated, Other-service, Unmarried, White, Male,-15,1,49, United-States, <=50K
93,54, ?,330636, Bachelors,9, Married-civ-spouse, Sales, Husband, White, Female,85,-1,29, United-States, <=50K
94,55, Private,130843, 10th,11, Never-married, Adm-clerical, Not-in-family, White, Male,142,4,40, ?, <=50K
95,47, Without-pay,12306, Some-college,14, Never-married, Prof-specialty, Other-relative, White, Male,86,-3,40, Taiwan, >50K
96,33, ?,87122, Some-college,9, Married-civ-spouse, ?, Unmarried, White, Male,88,-6,40, United-States, <=50K
97,42, Private,224957, 10th,4, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,94,1713,40, United-States, <=50K
98,81, Self-emp-not-inc,141092, Assoc-voc,9, Married-civ-spouse, Sales, Other-relative, White, Male,63,-1,14, United-States, <=50K
99,39, Private,69322, Some-college,9, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,-1,3,17, United-States, <=50K
