,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33,25, ?,239217, Bachelors,13, Never-married, Adm-clerical, Husband, White, Female,1,0,36, Germany, >50K
34,27, Private,205536, Some-college,9, Married-civ-spouse, ?, Wife, White, Female,-5,-1,8, United-States, <=50K
35,37, Private,272122, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Female,3399,0,50, Peru, >50K
36,26, Private,24973, HS-grad,2, Divorced, Other-service, Not-in-family, White, Male,3520,0,40, United-States, <=50K
37,51, Private,149380, 12th,-1, Separated, Sales, Not-in-family, White, Female,3273,1801,57, Vietnam, >50K
38,60, Private,141986, 10th,7, Never-married, Other-service, Other-relative, White, Female,-1,-1,36, United-States, <=50K
39,40, State-gov,238277, Bachelors,10, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,-2,-1,44, United-States, >50K
40,36, Private,23366, Bachelors,10, Divorced, Sales, Husband, Asian-Pac-Islander, Male,3133,0,36, Haiti, <=50K
41,20, Private,166642, HS-grad,10, Divorced, Farming-fishing, Husband, Asian-Pac-Islander, Female,1,0,50, United-States, <=50K
42,47, Federal-gov,164594, Masters,11, Married-civ-spouse, Craft-repair, Unmarried, White, Male,8,0,40, United-States, <=50K
43,25, Private,153504, 11th,9, Never-married, Exec-managerial, Not-in-family, White, Male,10,0,9, United-States, <=50K
44,26, Private,160721, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,7,0,40, United-States, <=50K
45,37, Private,154966, Some-college,1, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,-2,-1,40, United-States, >50K
46,27, ?,153793, Bachelors,-1, Married-AF-spouse, Prof-specialty, Husband, White, Male,8,0,40, United-States, <=50K
47,27, Private,134666, Doctorate,9, Never-married, Craft-repair, Not-in-family, White, Male,-3,-1,40, United-States, <=50K
48,25, Federal-gov,200041, HS-grad,-1, Never-married, Exec-managerial, Own-child, Black, Male,2,-1,57, United-States, <=50K
49,19, Private,148592, HS-grad,11, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,3784,0,59, United-States, <=50K
50,26, Private,263945, 11th,11, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,-2,-1,44, United-States, <=50K
51,25, Private,198689, HS-grad,12, Never-married, Other-service, Unmarried, White, Female,-1,0,36, United-States, <=50K
52,38, Private,268310, Assoc-acdm,2, Never-married, Transport-moving, Not-in-family, White, Female,12,-1,66, United-States, <=50K
53,24, Self-emp-inc,68764, Assoc-acdm,9, Separated, Prof-specialty, Not-in-family, Black, Male,-1,-1,40, Guatemala, <=50K
54,32, Private,18276, Preschool,14, Never-married, ?, Not-in-family, Black, Male,5,0,30, United-States, <=50K
55,27, Private,167740, Some-college,9, Never-married, Sales, Own-child, Black, Female,5,0,62, United-States, <=50K
56,24, Private,14326, HS-grad,2, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
57,31, Without-pay,267682, Doctorate,0, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,-4,0,30, Vietnam, <=50K
58,45, Private,193932, 11th,9, Never-married, Sales, Unmarried, White, Female,-1,1725,40, United-States, >50K
59,25, Private,254271, Assoc-voc,10, Married-AF-spouse, Sales, Unmarried, Asian-Pac-Islander, Female,7,0,57, United-States, >50K
60,36, Private,156849, Prof-school,2, Divorced, Exec-managerial, Other-relative, White, Male,0,0,40, France, <=50K
61,27, Private,156507, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,4,0,40, United-States, <=50K
62,23, Without-pay,113969, HS-grad,14, Married-civ-spouse, Exec-managerial, Own-child, White, Female,-5,0,58, France, >50K
63,24, Federal-gov,57780, Assoc-voc,10, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,-1,0,40, United-States, <=50K
64,32, Self-emp-not-inc,17632, 9th,14, Never-married, Exec-managerial, Own-child, White, Female,1,-1,40, United-States, <=50K
65,19, Local-gov,154139, Bachelors,9, Widowed, Craft-repair, Own-child, White, Female,7457,0,9, United-States, <=50K
66,32, Private,161710, 12th,2, Never-married, Adm-clerical, Husband, White, Male,-2,0,36, United-States, >50K
67,26, Self-emp-inc,159317, 1st-4th,2, Divorced, Craft-repair, Husband, White, Male,11,0,40, United-States, <=50K
68,51, Private,155708, 12th,9, Never-married, ?, Husband, White, Female,5,0,40, Mexico, <=50K
69,25, Private,147837, 5th-6th,14, Never-married, Machine-op-inspct, Husband, Black, Male,1,0,58, United-States, <=50K
70,26, Private,18545, HS-grad,1, Never-married, Farming-fishing, Not-in-family, White, Female,7,0,18, United-States, <=50K
71,24, Private,149620, HS-grad,14, Never-married, Prof-specialty, Unmarried, White, Female,-9,0,9, United-States, <=50K
72,19, State-gov,193967, Bachelors,11, Separated, Prof-specialty, Own-child, Black, Male,0,-1,50, Taiwan, <=50K
73,37, Private,25773, HS-grad,9, Married-civ-spouse, Craft-repair, Other-relative, White, Female,7738,0,11, United-States, <=50K
74,41, Private,203330, HS-grad,14, Married-civ-spouse, Other-service, Unmarried, Black, Male,4,-1,40, United-States, >50K
75,26, State-gov,69527, HS-grad,10, Never-married, Machine-op-inspct, Husband, White, Female,-2,-1,21, United-States, <=50K
76,51, State-gov,24256, HS-grad,2, Separated, Sales, Not-in-family, Other, Male,7,0,50, Jamaica, >50K
77,24, Private,57049, HS-grad,7, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,6,-1,35, United-States, >50K
78,24, Private,286993, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,8,0,59, United-States, >50K
79,25, Self-emp-inc,155589, Bachelors,2, Married-civ-spouse, Sales, Other-relative, White, Male,-13,0,58, Italy, <=50K
80,50, Private,147942, Some-college,11, Divorced, Farming-fishing, Not-in-family, White, Male,6,1769,45, United-States, <=50K
81,66, Private,268162, Assoc-voc,9, Never-married, Transport-moving, Wife, White, Female,3614,0,59, United-States, >50K
82,40, Private,149555, Some-college,9, Married-spouse-absent, Handlers-cleaners, Wife, Asian-Pac-Islander, Male,-11,-1,40, United-States, <=50K
83,21, Private,288053, Some-college,14, Divorced, Adm-clerical, Own-child, Black, Male,-8,-1,35, United-States, <=50K
84,35, Private,204851, 1st-4th,7, Married-spouse-absent, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,10,-1,40, United-States, >50K
85,32, Private,162135, HS-grad,12, Divorced, Exec-managerial, Husband, White, Female,2,-1,22, United-States, <=50K
86,59, Private,161257, HS-grad,10, Never-married, Sales, Husband, White, Female,12,0,40, United-States, <=50K
87,20, Private,296364, 11th,14, Never-married, Prof-specialty, Own-child, White, Female,-2,0,11, United-States, <=50K
88,47, ?,136525, 9th,9, Divorced, Priv-house-serv, Own-child, White, Female,3,-1,36, United-States, <=50K
89,53, Local-gov,155396, HS-grad,14, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,-3,0,35, United-States, <=50K
90,25, Private,241613, Prof-school,9, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,3634,-1,40, United-States, <=50K
91,26, Private,162299, HS-grad,14, Never-married, Farming-fishing, Husband, White, Male,-16,0,20, United-States, >50K
92,26, Self-emp-not-inc,153079, HS-grad,11, Never-married, Handlers-cleaners, Unmarried, White, Male,-1,-1,49, United-States, <=50K
93,37, Private,251380, 11th,-1, Widowed, ?, Not-in-family, Asian-Pac-Islander, Male,13,-1,49, United-States, <=50K
94,20, Federal-gov,24243, Bachelors,9, Never-married, Sales, Unmarried, Black, Male,7,-1,10, Poland, >50K
95,21, Private,151773, Bachelors,10, Never-married, Other-service, Own-child, Black, Male,5,0,40, United-States, <=50K
96,25, Private,150469, Some-college,9, Widowed, Prof-specialty, Unmarried, White, Male,9,-1,40, United-States, >50K
97,38, Private,265316, Bachelors,14, Never-married, Prof-specialty, Other-relative, White, Female,-2,0,40, United-States, <=50K
98,48, Private,154884, HS-grad,9, Divorced, Exec-managerial, Other-relative, White, Male,9,0,40, United-States, >50K
99,35, Local-gov,141605, Assoc-voc,9, Never-married, ?, Not-in-family, White, Male,-4,0,20, Hong, <=50K
